%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fuel_level
1509044757828230861,28127,1509044757828097886,,35.4348945618
1509044757928192712,28128,1509044757928106781,,35.4348945618
1509044758028214695,28129,1509044758028120637,,35.4348945618
1509044758130235136,28130,1509044758130153014,,35.4348945618
1509044758228296361,28131,1509044758228154803,,35.4348945618
1509044758328277685,28132,1509044758328160341,,35.4348945618
1509044758429324762,28133,1509044758429182340,,35.4348945618
1509044758528271439,28134,1509044758528186194,,35.4348945618
1509044758628308793,28135,1509044758628207476,,35.4348945618
1509044758727890202,28136,1509044758727752135,,35.4348945618
1509044758827837725,28137,1509044758827746365,,35.4348945618
1509044758928471022,28138,1509044758928322177,,35.4348945618
1509044759027849051,28139,1509044759027682417,,35.4348945618
1509044759130456331,28140,1509044759130269878,,35.4348945618
1509044759227874996,28141,1509044759227731541,,35.4348945618
1509044759327833001,28142,1509044759327712091,,35.4348945618
1509044759427859162,28143,1509044759427738128,,35.4348945618
1509044759527892097,28144,1509044759527771355,,35.4348945618
1509044759627934996,28145,1509044759627764292,,35.4348945618
1509044759729588638,28146,1509044759729446618,,35.4348945618
1509044759827903145,28147,1509044759827786968,,35.4348945618
1509044759927899507,28148,1509044759927793564,,35.4348945618
1509044760028928512,28149,1509044760028809351,,35.4348945618
1509044760130135978,28150,1509044760129903112,,35.4348945618
1509044760227991826,28151,1509044760227842922,,35.4348945618
1509044760329569757,28152,1509044760329434674,,35.4348945618
1509044760429586125,28153,1509044760429449903,,35.4348945618
1509044760529557467,28154,1509044760529461756,,35.4348945618
1509044760629601939,28155,1509044760629469128,,35.4348945618
1509044760727993691,28156,1509044760727903245,,35.4348945618
1509044760828024008,28157,1509044760827913581,,35.4348945618
1509044760928016109,28158,1509044760927932149,,35.4348945618
1509044761029019212,28159,1509044761028944476,,35.4348945618
1509044761130079428,28160,1509044761129980514,,35.4348945618
1509044761229331307,28161,1509044761228970984,,35.4348945618
1509044761328392586,28162,1509044761327993016,,35.4348945618
1509044761428201204,28163,1509044761428020676,,35.4348945618
